name,type,size,path,ctime
EdmParameters.properties,other,63 B,/home/johann,Wed Nov 22 09:46:52 2017
GrandPrize2009_BPC_BellKor.pdf,other,127.778 KB,/home/johann,Tue Jun 27 11:09:04 2017
TWHYA_BAND7_ReferenceImages.tgz,other,8.51 MB,/home/johann,Fri Jul 28 16:08:49 2017
airplay.jar,other,18.211 KB,/home/johann,Fri Apr 28 13:22:34 2017
examples.desktop,other,8.77 KB,/home/johann,Thu Apr 20 10:47:59 2017
hello.o,other,944 B,/home/johann,Tue May  2 12:55:53 2017
hellomake.o,other,952 B,/home/johann,Tue May  2 12:52:28 2017
install-sublime-text.sh,other,863 B,/home/johann,Thu Apr 20 10:47:57 2017
missfont.log,other,4.441 KB,/home/johann,Mon Apr 24 16:42:15 2017
mysql_test.py,other,302 B,/home/johann,Fri May  5 16:46:35 2017
ngamsCfg.xml,other,11.151 KB,/home/johann,Tue Jun 13 15:55:11 2017
rectangle.o,other,2.188 KB,/home/johann,Wed Sep  6 10:53:00 2017
spyder_crash.log,other,1.502 KB,/home/johann,Fri Jun 23 12:53:35 2017
ubuntu-16.04.2-desktop-amd64.iso,other,1.447 GB,/home/johann,Thu Apr 20 10:47:57 2017
udo q,other,154.311 KB,/home/johann,Fri May  5 17:13:46 2017
vimrc.backup,other,347 B,/home/johann,Wed Nov  8 13:41:54 2017
web,other,98 B,/home/johann,Thu Apr 20 10:47:59 2017
/home/johann/Aufgaben,DIR,34,,Wed Nov 22 13:07:36 2017
/home/johann/BoostPTest,DIR,4,,Tue May  2 14:10:45 2017
